text,date
어딜 가든 좋아! 국제선 항공권 최대 7% 할인,2018.04.30 ~ 2018.05.31
여행의 시작은 할인! 해외호텔 최대 10% 할인,2018.05.02 ~ 2018.05.31
"여행주간 함께 하는 내 나라 여행 강원도, 전라도편",2018.04.18 ~ 2018.05.31
온라인 쇼핑! 혜택 트렌드 모음,2018.05.16 ~ 2018.05.31
온라인 신규발급 회원 연회비 100% 캐시백,2018.05.01 ~ 2018.05.31
올 여름엔 호텔 바캉스! 도시의 호캉스 Season 1. 서울,2018.05.01 ~ 2018.05.31
일룸에서 받고 싶은 꿈 이룸,2018.04.01 ~ 2018.05.31
체크카드 + Liiv Mate 신규발급 트리플 혜택!,2018.05.01 ~ 2018.05.31
최대 10만원! 가정의 달 해외여행비 지원 프로젝트,2018.05.01 ~ 2018.05.31
"캐리어를 끄는 순간 따라오는
인천공항 할인 혜택!",2017.06.01 ~ 2018.05.31
캐시백 + 경품! 예뻐지는 더블 찬스!,2018.04.13 ~ 2018.05.31
한샘 건강한 가정의 달 혜택,2018.05.01 ~ 2018.05.31
해외에서 국내처럼 수수료 0원! 해외수수료 전액 캐시백,2018.03.01 ~ 2018.05.31
호남 · 충청 · 제주 가구업체 5월 풍성한 혜택!,2018.05.01 ~ 2018.05.31
"호남, 충청 듀오와 함께 행복 찾아 듀오",2018.04.01 ~ 2018.05.31
화제의 생활용품 특가로 득템!,2018.04.04 ~ 2018.05.31
"휘닉스 평창,제주 객실 패키지 할인이벤트",2018.04.03 ~ 2018.05.31
어딜 가든 좋아! 국제선 항공권 최대 12% 할인,2018.05.23 ~ 2018.05.30
2주간의 진짜 웨딩혜택! No.1 아이웨딩의 아이위크!,2018.05.18 ~ 2018.05.27
내 손으로 꾸미는 2018 셀프인테리어코리아페어 무료입장!,2018.05.24 ~ 2018.05.27
체크카드 Family O’ Clock 이벤트,2018.04.27 ~ 2018.05.23
해외직구 ‘테일리스트’ 즉시할인(최대 $15) X 무료배송!!,2018.04.23 ~ 2018.05.23
해외 주요 도시 여행 전 필독! T Galleria by DFS 면세점 사은 혜택,2018.04.01 ~ 2018.05.22
가정의달 건강선물 정관장 청구할인,2018.04.27 ~ 2018.05.21
학습지 추가할인 + 다이슨 V8까지! 교원구몬 KB국민카드 출시!,2018.03.02 ~ 2018.05.21
KB국민 아이행복/아이사랑카드 롯데월드 언더씨킹덤 만원의 행복,2018.03.29 ~ 2018.05.20
체크러시! 매주 금토 1만원 할인러시!,2018.02.23 ~ 2018.05.19
라이프샵 컬처 뮤지컬 「맨오브라만차」 1+1 티켓 이벤트,2018.04.27 ~ 2018.05.18
11번째 특별한 테이블 다이닝스타(Dining Star),2018.05.11 ~ 2018.05.17
가정의달 감사선물 참다한 홍삼 청구할인,2018.04.27 ~ 2018.05.16
KB국민체크카드 크리스피 크림 도넛 1+1,2018.05.07 ~ 2018.05.15
리브메이트 & 네이버페이의 운명적 만남,2018.04.16 ~ 2018.05.15
해피포인트 THE 맛있는 캠핑 시즌 12 초청이벤트!,2018.04.30 ~ 2018.05.14
백화점 쇼핑지원 ‘캐시백 + 상품권’ 더블혜택,2018.04.27 ~ 2018.05.13
"꼭 간다, 전주국제영화제 10% 할인",2018.05.03 ~ 2018.05.12
체크카드 매일매일 캐시백 첵첵!,2018.04.12 ~ 2018.05.12
LA PERLA Summer Holiday 커플 스타일링 클래스,2018.05.02 ~ 2018.05.09
KB국민카드와 CGV의 특급 콜라보~ CGV 영화 + 콤보 할인,2018.04.16 ~ 2018.05.04
일시불 할부전환 이벤트,2018.04.05 ~ 2018.05.04
18만원 청구할인 슈퍼 그레잇~ 스마트폰 구입하면 따라오는 추가 혜택,2018.04.01 ~ 2018.04.30
2018 Spring in 러브油 캠핑 초청,2018.04.13 ~ 2018.04.30
"4월에도 호남, 충청, 제주 학원업체 캐시백 드림!",2018.04.01 ~ 2018.04.30
"5~2, 10개월 무이자할부 시즌2",2018.03.01 ~ 2018.04.30
Beyond Value! BeV Ⅴ카드 캐시백 혜택,2018.04.01 ~ 2018.04.30
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2018.04.01 ~ 2018.04.30
KB국민 아멕스카드 매치스 패션 15% 캐시백,2018.04.01 ~ 2018.04.30
"KB국민 앱카드 신규회원 최대 10,000점 포인트리 적립",2018.04.01 ~ 2018.04.30
Liiv Mate 신규회원 2000P 받고 싶은 사람!,2018.04.01 ~ 2018.04.30
같이 가면 이득! 스타샵 할인 + 롯데워터파크 동반인 추가할인,2018.03.31 ~ 2018.04.30
개인사업자 전용 카드 연회비 100% 캐시백,2018.04.01 ~ 2018.04.30
건강보험 · 국민연금 · 고용보험 · 산재보험 4대 사회보험 자동납부 이벤트,2018.03.01 ~ 2018.04.30
골프 좀 치는 사람들의 즐거운 혜택,2018.03.28 ~ 2018.04.30
꽃피는 4월에도~ 쓰면 쓸수록 돌려드려U!,2018.04.05 ~ 2018.04.30
도시가스요금 자동납부하고 캐시백 받자!,2018.04.01 ~ 2018.04.30
