text,date
서울광장 스케이트장 50% 청구할인!,2017.12.22 ~ 2018.02.25
우리MASTER로 해외직구 따라잡기!,2017.04.24 ~ 2018.02.23
황금개 골드바 받고 행복하개!,2018.01.22 ~ 2018.02.18
하와이로 떠나면 기타큐슈 항공권이!,2017.12.01 ~ 2018.02.16
우리MASTER카드로 여행마스터!,2017.11.20 ~ 2018.02.13
우리VISA 프리미엄 해외여행,2017.04.19 ~ 2018.02.14
겨울 휴가 준비는 아고다 한국 호텔에서!,2018.01.10 ~ 2018.02.08
평창동계올림픽대회 순위 맞히고 골드바 받자!,2017.12.01 ~ 2018.02.07
설 시즌 무이자 할부 혜택!,2018.01.21 ~ 2018.02.18
아파트관리비 자동납부 이벤트,2018.01.01 ~ 2018.01.31
평창동계올림픽 경기입장권 결제 시 10% 캐시백!,2017.12.01 ~ 2018.01.31
"대한항공 이용하면, 2018평창 경기관람패키지 행운이~",2018.01.02 ~ 2018.01.31
웨딩밴드 가입하면 웨딩 꽃길이 시작된다!,2018.01.01 ~ 2018.01.31
1월 아고다 최대 10% 할인,2018.01.01 ~ 2018.01.31
SK주유소에서 꿀머니(모아) 사용하고 1만원 주유상품권 받자!,2017.12.18 ~ 2018.01.31
우리 아이 & 우리 국민 행복플러스,2017.12.22 ~ 2018.01.31
해외골프 여행도 우리카드와 함께 떠나자~,2017.12.13 ~ 2018.01.31
온더보더에서 누리는 우리카드만의 푸짐한 혜택!,2017.02.01 ~ 2018.01.31
도쿄 백화점 마츠야 긴자 5% 할인,2017.02.01 ~ 2018.01.31
쉽겟 SHIPGET 배송비 50% 할인,2017.11.13 ~ 2018.01.31
"우리카드 지방세 납부 캐시백, 무이자 할부 이벤트",2018.01.22 ~ 2018.01.31
평창동계올림픽대회와 함께하는 특별한 새해!,2018.01.05 ~ 2018.01.26
겨울 휴가 준비는 아고다 한국 호텔에서!,2017.12.11 ~ 2018.01.09
단 한 번뿐인 기회 블랙프라이데이가 돌아왔다!,2017.11.01 ~ 2018.01.04
LG베스트샵에서 포인트 사용하고 경품받자!,2017.11.24 ~ 2017.12.31
위비꿀파트너가 헛개수를 쏜다! 탕!탕!탕!,2017.12.04 ~ 2017.12.31
우리 XGOLF 카드와 함께 누리는 즐거운 골프생활!,2017.10.25 ~ 2017.12.31
오마이집 배송비 프라임 서비스 무료체험,2017.12.01 ~ 2017.12.31
YOOX 육스 10 ~ 20% 즉시 할인!,2017.12.01 ~ 2017.12.31
우리카드 이용하면 메르세데스 벤츠가 내 손에!,2017.11.13 ~ 2017.12.31
12월 아고다 최대 10% 할인,2017.12.01 ~ 2017.12.31
우리유니온페이카드 해외 이용 최대 10만원 캐시백,2017.11.20 ~ 2017.12.31
이하넥스 배송비 3천원 할인,2017.11.13 ~ 2017.12.31
뮤지컬 <광화문연가> 티켓 할인 이벤트,2017.11.11 ~ 2017.12.31
웨딩밴드 가입하면 다양한 혜택과 함께 웨딩 꽃길이 시작된다!,2017.11.01 ~ 2017.12.31
"중고차 팔고 우리카드로 신차 사고, 스마트리페어 프로그램까지",2017.12.01 ~ 2017.12.31
"미국,글로벌 엔트리를 이용하면 먼 나라가 이웃나라",2017.11.01 ~ 2017.12.31
썸타는 위비프렌즈 체크카드 출시 이벤트,2017.10.25 ~ 2017.12.31
모바일 교통카드 레일플러스(R+) 할인,2017.10.19 ~ 2017.12.31
비타트라 ＄10 즉시 할인!,2017.11.13 ~ 2017.12.31
웨딩밴드와 함께하는 Smart Wedding,2017.10.25 ~ 2017.12.31
우리Visa 스페셜 가이드!,2017.10.01 ~ 2017.12.31
광군제를 잡아라! 이젠 중국 쇼핑몰에서 블랙프라이데이를 즐겨라~,2017.11.09 ~ 2017.12.31
우리MASTER카드로 결제하고 다양한 해외직구 혜택 누리자!,2017.11.01 ~ 2017.12.31
지방세 납부하고 실속있는 혜택받자!,2017.09.01 ~ 2017.12.31
4대 사회보험료 자동납부 이벤트,2017.12.01 ~ 2017.12.31
현대백화점 클럽웨딩과 우리카드 웨딩밴드가 뭉쳤다!,2017.09.18 ~ 2017.12.31
생활업종 및 4대 사회보험료 자동납부 이벤트,2017.09.01 ~ 2017.12.31
우리카드로 무이자할부 혜택 받자!,2017.09.01 ~ 2017.12.31
Visa 2018 평창기념카드 온라인 신규발급 이벤트,2017.07.11 ~ 2017.12.31
LH공사 임대주택 임대료 자동납부 이벤트,2017.10.01 ~ 2017.12.31
SH공사 임대주택 임대료 자동납부 이벤트,2017.10.01 ~ 2017.12.31
아파트관리비 우리카드 자동납부 이벤트,2017.12.01 ~ 2017.12.31
전기요금 자동납부 청구할인 이벤트,2017.12.01 ~ 2017.12.31
도시가스요금 자동납부 청구할인 이벤트,2017.12.01 ~ 2017.12.31
빨간날엔 롯데월드 55% 할인,2017.08.27 ~ 2017.12.31
"인터파크, 대한항공 월요일에 만나는 여행 혜택",2017.06.01 ~ 2017.12.31
대학등록금 무이자할부 이벤트,2017.01.01 ~ 2017.12.31
"대학로 인기공연, 맛집 최대 50% 할인",2017.07.01 ~ 2017.12.31
위메프 우리카드 출시기념 이벤트,2017.07.10 ~ 2017.12.31
우리체크 1!2!3! 이벤트,2017.07.01 ~ 2017.12.31
빨간날엔 미스터피자 50% 할인,2017.06.18 ~ 2017.12.31
유니온페이로 괌 제대로 즐기기!,2017.06.01 ~ 2017.12.31
항공권 할인받GO! 해외여행GO!,2017.01.01 ~ 2017.12.31
해피오토멤버스 긴급출동 모바일 멤버십 청구할인,2017.06.01 ~ 2017.12.31
에쓰-오일 400 우리카드 고객 이벤트,2017.07.17 ~ 2017.12.31
20대만을 위한 아주 특별한 청춘광장!,2017.01.01 ~ 2017.12.31
2017년 빨간날엔 우리BC,2017.01.01 ~ 2017.12.31
우리카드 고객 자동차보험료(DB손해보험) 산출시 주유상품권 증정,2017.10.01 ~ 2017.12.31
우리체크카드 온라인 발급 시 GS25 편의점 상품권 제공,2017.10.10 ~ 2017.12.31
던킨도너츠 50% 청구할인 이벤트,2017.12.21 ~ 2017.12.25
